DESIGN R40
12 60 2 6 2
1 2
3 4
5 6
7 8
9 10
11 12
1 4
2 6
3 5
7 10
8 12
9 11
1 6
2 3
4 5
7 12
8 9
10 11
1 8
2 7
3 10
4 9
5 12
6 11
1 10
2 12
3 11
4 7
6 8
5 9
1 12
2 9
4 11
6 7
3 8
5 10
1 3
2 5
4 6
7 9
8 11
10 12
1 5
2 4
3 6
7 11
8 10
9 12
1 9
2 11
4 12
3 7
5 8
6 10
1 11
2 10
3 12
5 7
4 8
6 9
